Format Version,1.23,Take Name,astro_optitrack_cuk_001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-08-21 06.43.07.396 PM,Capture Start Frame,746709,Total Frames in Take,2851,Total Exported Frames,2851,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1269,Unlabeled 1269,Unlabeled 1269,Unlabeled 1270,Unlabeled 1270,Unlabeled 1270
,ID,"462DFAED4DF9D7011F1","462DFAED4DF9D7011F1","462DFAED4DF9D7011F1","525DFAED4DF9D7011F1","525DFAED4DF9D7011F1","525DFAED4DF9D7011F1"
,,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
241,2.008000,-9.097902,144.353882,210.534271,,,
242,2.017000,-9.070952,144.359863,210.525314,,,
243,2.025000,-9.082264,144.334137,210.528381,,,
244,2.033000,-9.067171,144.300217,210.514877,,,
245,2.042000,-9.087365,144.329346,210.520950,,,
246,2.050000,-9.072609,144.332382,210.516800,,,
247,2.058000,-9.061584,144.337860,210.533264,,,
248,2.067000,-9.076138,144.369019,210.529800,,,
249,2.075000,-9.070279,144.354996,210.508926,,,
250,2.083000,-9.093151,144.373856,210.513275,,,
251,2.092000,-9.086258,144.347656,210.522842,,,
252,2.100000,-9.064008,144.349609,210.530167,,,
253,2.108000,-9.065281,144.352905,210.526215,,,
254,2.117000,-9.082111,144.363190,210.526062,,,
255,2.125000,-9.078245,144.371552,210.512421,,,
256,2.133000,-9.082829,144.363022,210.529312,,,
257,2.142000,-9.115721,144.375336,210.535324,,,
258,2.150000,-9.096004,144.322754,210.514755,,,
259,2.158000,-9.093314,144.347931,210.515961,,,
260,2.167000,-9.106947,144.327301,210.488159,,,
261,2.175000,-9.079248,144.332870,210.535858,,,
262,2.183000,-9.070708,144.347885,210.550522,,,
263,2.192000,-9.085670,144.367249,210.562531,,,
264,2.200000,-9.076505,144.345932,210.529114,,,
265,2.208000,-9.067805,144.360703,210.523849,,,
266,2.217000,-9.085442,144.342316,210.500244,,,
267,2.225000,-9.086405,144.369766,210.535370,,,
268,2.233000,-9.093016,144.320145,210.542221,,,
269,2.242000,-9.090191,144.312653,210.530701,,,
270,2.250000,-9.124743,144.336426,210.503998,,,
271,2.258000,-9.091790,144.333481,210.508896,,,
272,2.267000,-9.011425,144.327408,210.534164,,,
273,2.275000,-9.045024,144.349304,210.554184,,,
274,2.283000,-9.082596,144.347916,210.525543,,,
275,2.292000,-9.110763,144.366852,210.540787,,,
276,2.300000,-9.065778,144.356201,210.536667,,,
277,2.308000,-9.035382,144.357635,210.558060,,,
278,2.317000,-9.044399,144.350403,210.546844,,,
279,2.325000,-9.108483,144.345276,210.510712,,,
280,2.333000,-9.091248,144.344147,210.529602,,,
281,2.342000,-9.020877,144.345108,210.525375,,,
282,2.350000,-9.022799,144.379364,210.563248,,,
283,2.358000,-9.017652,144.358002,210.529861,,,
284,2.367000,-9.093556,144.338684,210.519821,,,
285,2.375000,-9.101686,144.338974,210.526642,,,
286,2.383000,-9.043421,144.334656,210.530273,,,
287,2.392000,-9.064817,144.364609,210.529083,,,
288,2.400000,-9.029900,144.355560,210.526764,,,
289,2.408000,-9.067173,144.344940,210.543518,,,
290,2.417000,-9.057897,144.344604,210.551727,,,
291,2.425000,-9.065570,144.361801,210.537048,,,
292,2.433000,-9.042717,144.335617,210.527206,,,
293,2.442000,-9.050825,144.343948,210.539902,,,
294,2.450000,-9.034440,144.362915,210.651123,,,
295,2.458000,-8.995002,144.332993,210.897247,,,
296,2.467000,-9.045762,144.304977,211.244461,,,
297,2.475000,-9.126795,144.346313,211.726791,,,
298,2.483000,-9.139829,144.387192,212.276855,,,
299,2.492000,-9.125886,144.404083,212.942734,,,
300,2.500000,-9.282572,144.530594,213.726471,,,
301,2.508000,-9.417023,144.583298,214.648621,,,
302,2.517000,-9.422276,144.553299,215.720932,,,
303,2.525000,-9.463063,144.444580,216.936432,,,
304,2.533000,-9.530233,144.394791,218.163422,,,
305,2.542000,-9.666368,144.468445,219.557693,,,
306,2.550000,-9.738532,144.495056,220.957504,,,
307,2.558000,-9.744628,144.553040,222.470581,,,
308,2.567000,-9.873926,144.686447,224.061249,,,
309,2.575000,-10.053887,144.781769,225.643173,,,
310,2.583000,-10.103060,144.879501,227.400864,,,
311,2.592000,-10.249642,145.031296,229.169098,,,
312,2.600000,-10.402295,145.166077,231.043655,,,
313,2.608000,-10.452841,145.128876,233.013428,,,
314,2.617000,-10.693984,145.242096,235.029922,,,
315,2.625000,-10.755508,145.286163,237.133957,,,
316,2.633000,-10.978782,145.372711,239.409744,,,
317,2.642000,-11.084094,145.342590,241.694839,,,
318,2.650000,-11.412875,145.522125,244.120865,,,
319,2.658000,-11.443200,145.494217,246.448486,,,
320,2.667000,-11.690022,145.713486,248.950821,,,
321,2.675000,-11.741045,145.849426,251.586594,,,
322,2.683000,-11.992026,145.965271,254.436172,,,
323,2.692000,-12.184561,145.906586,257.331085,,,
324,2.700000,-12.259107,145.871567,260.244873,,,
325,2.708000,-12.575294,146.001114,263.280609,,,
326,2.717000,-12.677088,146.089294,266.278900,,,
327,2.725000,-12.804461,146.206009,269.217346,,,
328,2.733000,-13.027824,146.461884,272.259857,,,
329,2.742000,-13.219588,146.640152,275.385376,,,
330,2.750000,-13.291737,146.608490,278.442902,,,
331,2.758000,-13.555267,146.608383,281.644684,,,
332,2.767000,-13.889808,146.679245,285.048218,,,
333,2.775000,-13.948500,146.776978,288.197021,,,
334,2.783000,-14.160802,146.857986,291.354492,,,
335,2.792000,-14.486204,147.075058,294.719147,,,
336,2.800000,-14.646967,147.138794,298.028381,,,
337,2.808000,-14.822712,147.163345,301.502869,,,
338,2.817000,-15.150385,147.382385,305.029053,,,
339,2.825000,-15.306652,147.504288,308.407135,,,
340,2.833000,-15.462406,147.638733,311.887604,,,
341,2.842000,-15.724405,147.753876,315.390778,,,
342,2.850000,-15.974183,147.951889,318.943787,,,
343,2.858000,-16.150299,148.141891,322.441345,,,
344,2.867000,-16.278231,148.159439,326.078033,,,
345,2.875000,-16.526543,148.190384,329.731781,,,
346,2.883000,-16.773285,148.359619,333.333862,,,
347,2.892000,-16.875381,148.423248,336.793579,,,
348,2.900000,-17.192379,148.585556,340.474396,,,
349,2.908000,-17.568680,148.874924,344.290497,,,
350,2.917000,-17.707426,148.790222,348.013306,,,
351,2.925000,-17.892452,148.827301,351.869690,,,
352,2.933000,-17.992992,149.061066,355.550995,,,
353,2.942000,-18.363157,149.310883,359.184875,,,
354,2.950000,-18.701536,149.434143,362.945221,,,
355,2.958000,-19.019157,149.480362,366.790344,,,
356,2.967000,-19.134100,149.498383,370.663910,,,
357,2.975000,-19.309216,149.730927,374.536163,,,
358,2.983000,-19.573555,149.867676,378.309082,,,
359,2.992000,-19.896364,149.878250,382.109985,,,
360,3.000000,-20.118567,150.138535,385.986328,,,
361,3.008000,-20.399910,150.350891,389.911377,,,
362,3.017000,-20.561310,150.370422,393.872040,,,
363,3.025000,-20.801504,150.456268,397.769379,,,
364,3.033000,-21.031132,150.565155,401.641846,,,
365,3.042000,-21.245798,150.778229,405.594238,,,
366,3.050000,-21.703497,150.953064,409.495697,,,
367,3.058000,-22.028889,150.952393,413.459839,,,
368,3.067000,-22.234457,151.106644,417.395416,,,
369,3.075000,-22.479912,151.329269,421.247833,,,
370,3.083000,-22.791735,151.467743,425.182831,,,
