time,x,y,z,yaw,linear_velocity,angular_velocity
18.836379997,-1.5833057202199123,-3.6077273671665653,0.0,-1.6716556139807803,0.34434,1.2040540540540539
18.86072492,-1.5841617104963917,-3.6161855447151328,0.0,-1.6424769617329018,0.34884,1.197297297297297
18.884351863,-1.5847727724445277,-3.624695723530689,0.0,-1.6169571525255062,0.36143999999999993,1.0810810810810807
18.89623531,-1.5849705257321471,-3.628976686999762,0.0,-1.6036405714695743,0.35747999999999996,1.1108108108108106
18.920625858,-1.5852407746245538,-3.6372019243769484,0.0,-1.574470040918376,0.34235999999999994,1.2135135135135133
18.944440929,-1.585271623879057,-3.645599179765848,0.0,-1.5474331597937319,0.35045999999999994,1.1283783783783785
18.956518598,-1.585169775043528,-3.649957762824207,0.0,-1.5347342365410184,0.36234,1.0554054054054054
18.980721018,-1.5848677260201611,-3.658329936323263,0.0,-1.5062871211197175,0.34902,1.185135135135135
19.0059109,-1.584332479753921,-3.6666156312087272,0.0,-1.4763612991968014,0.34343999999999997,1.2378378378378376
19.016532871,-1.5839404109216129,-3.6707550131958455,0.0,-1.4622220293809018,0.3501,1.1905405405405405
19.04033164,-1.5830150025833924,-3.6792447676288136,0.0,-1.4340323950706788,0.35657999999999995,1.1770270270270269
19.064333485,-1.5818814168268662,-3.68748165613608,0.0,-1.4045223445419222,0.34685999999999995,1.2310810810810808
19.076324068,-1.5811889299329014,-3.691607938277381,0.0,-1.3896792801564202,0.3474,1.2324324324324323
19.100348153,-1.5796220537121592,-3.700164315031523,0.0,-1.3626062251339504,0.3634199999999999,1.1310810810810807
19.124301143,-1.577884386271922,-3.708389918815975,0.0,-1.3327975234383214,0.35064,1.243243243243243
19.136291205,-1.5768989250665948,-3.712452056579639,0.0,-1.3177990794095165,0.34685999999999995,1.2445945945945944
19.160474667,-1.5747014914199928,-3.7209515490523515,0.0,-1.2913774905891469,0.36593999999999993,1.1013513513513513
19.184714588,-1.5723799440803634,-3.729042672600375,0.0,-1.2625049684412115,0.35064,1.2027027027027024
19.196401626,-1.5711253455103347,-3.7329824432617373,0.0,-1.2475687532724944,0.34415999999999997,1.243243243243243
19.220553473,-1.5684043030958874,-3.7411055574592025,0.0,-1.219542372218049,0.3573,1.1689189189189189
19.244521359,-1.5653929350052231,-3.7493232312747233,0.0,-1.191873221453184,0.36504,1.1540540540540538
19.256373034,-1.5637893825430564,-3.7533505923225707,0.0,-1.1772316826269869,0.35928,1.2135135135135133
19.280729571,-1.5605544224796926,-3.761141396641586,0.0,-1.1453059289819887,0.35064,1.3270270270270268
19.304670269,-1.5570737869275268,-3.768821966468623,0.0,-1.1128128596167726,0.3528,1.3594594594594593
19.316600852,-1.555179792323022,-3.7726642101380126,0.0,-1.0961210495630296,0.35478,1.3824324324324322
19.340418215,-1.5513971359984142,-3.780025446099716,0.0,-1.0597467731698682,0.34559999999999996,1.5189189189189187
19.364347402,-1.5474208681395836,-3.7871165860736853,0.0,-1.0209356771846583,0.33912,1.6189189189189188
19.376653407,-1.5453179672913535,-3.7905475773244444,0.0,-1.00068046626952,0.33318,1.6770270270270269
19.400483114,-1.5406990198573232,-3.797751939697311,0.0,-0.9643689439016807,0.35766,1.5175675675675675
19.424428447,-1.5362128695011663,-3.804219727959488,0.0,-0.9224646993498792,0.32796,1.7459459459459457
19.436367728,-1.5339626321054247,-3.8071900435535806,0.0,-0.900138893634269,0.31013999999999997,1.858108108108108
19.46060343,-1.5297735503696825,-3.8124704553833446,0.0,-0.849601355105838,0.28008,2.0999999999999996
19.484323083,-1.5255638708307417,-3.8172586203233942,0.0,-0.797990204828201,0.26676,2.1594594594594594
19.496352365,-1.5233660911737417,-3.8195124578918,0.0,-0.7716998618915536,0.26261999999999996,2.193243243243243
19.520317334,-1.5191248425669284,-3.823639073797446,0.0,-0.7170193436896765,0.24641999999999997,2.2770270270270268
19.544330898,-1.5148992153759173,-3.827323009869787,0.0,-0.6606653809460763,0.23364,2.348648648648648
19.556453775,-1.5127570269484054,-3.828987857940885,0.0,-0.6319416712983551,0.22553999999999996,2.387837837837837
19.58063682,-1.5086867168216185,-3.8319677027962538,0.0,-0.5729294773608072,0.21023999999999998,2.459459459459459
19.60729016,-1.5045699964238337,-3.8346234376763744,0.0,-0.5135116651165018,0.20412,2.4756756756756753
19.616278046,-1.5024615520450557,-3.8358125543654205,0.0,-0.4835148240982417,0.20195999999999997,2.5027027027027025
19.640751355,-1.4983441226324352,-3.8379745610437324,0.0,-0.4222936288644146,0.19349999999999998,2.547297297297297
19.664308089,-1.4941466567805126,-3.8398605933157213,0.0,-0.3613008408846579,0.19188,2.543243243243243
19.676492374,-1.4920159300133373,-3.840665770932579,0.0,-0.3305069121068041,0.18881999999999996,2.5527027027027023
19.700288538,-1.4879465791255353,-3.8420619300248924,0.0,-0.26817939119503903,0.17928,2.5972972972972967
19.724395436,-1.483838028661739,-3.8431909558400412,0.0,-0.2060120327966129,0.1782,2.6
19.736313571,-1.4817330591762945,-3.843630845677168,0.0,-0.17491236666511695,0.17837999999999998,2.5797297297297295
19.760452032,-1.4772587400335804,-3.8444215395066044,0.0,-0.11461629254534074,0.18899999999999997,2.5081081081081074
19.784345229,-1.4725866985452363,-3.8449593888693365,0.0,-0.056417866324485706,0.19656,2.432432432432432
19.796353365,-1.4702378028361747,-3.8450920493350136,0.0,-0.02728291877965289,0.19619999999999996,2.4297297297297296
19.820706986,-1.4654936313543407,-3.8452215163050667,0.0,0.03125698470643984,0.19763999999999998,2.4378378378378374
19.844453619,-1.4607365452388188,-3.8450727756941374,0.0,0.08985373233680066,0.19746,2.431081081081081
19.856745352,-1.4583577558984884,-3.844858455497602,0.0,0.1191183576799037,0.19763999999999995,2.421621621621621
19.880509694,-1.4536066957108937,-3.844289824995843,0.0,0.1769106162647151,0.20106,2.428378378378378
19.904364765,-1.4488556983685235,-3.8434404434490816,0.0,0.23554684085676483,0.20087999999999998,2.44054054054054
19.916379672,-1.4465160221191617,-3.842878916546435,0.0,0.2647270499135263,0.20123999999999997,2.44054054054054
19.940520321,-1.4418257193803037,-3.841607424611046,0.0,0.32366681421988547,0.20178,2.447297297297297
19.96430336,-1.4372030950077768,-3.840056701129084,0.0,0.38219614609730884,0.20376,2.4459459459459456
19.9762541,-1.434942257857724,-3.8391479317282067,0.0,0.4114004193211915,0.2034,2.4378378378378374
20.000392092,-1.4304718985288474,-3.837197526540457,0.0,0.4702656958640521,0.20322,2.4527027027027026
20.025089571,-1.4260926963462155,-3.834971577215036,0.0,0.5286190052376386,0.20465999999999998,2.4310810810810803
20.036356239,-1.4239439383801367,-3.833716566282777,0.0,0.5579854272593624,0.20646,2.436486486486486
20.060327562,-1.4197495770425217,-3.8310986697503426,0.0,0.6160106729902938,0.20645999999999998,2.4229729729729725
20.084393678,-1.4156311377714295,-3.8281832120651025,0.0,0.6741489220396009,0.21005999999999994,2.42027027027027
20.096416189,-1.4136455804932222,-3.8265966931337307,0.0,0.7030871871441579,0.21114,2.4040540540540536
20.120348398,-1.4095132189066595,-3.823094187971782,0.0,0.7586616783614861,0.2259,2.317567567567567
20.144308106,-1.405338148708286,-3.8191366080769606,0.0,0.8123476067191093,0.23993999999999996,2.239189189189189
20.156496714,-1.403274237550068,-3.816958344999732,0.0,0.839010657177349,0.24714,2.1959459459459456
20.180760645,-1.399084690705119,-3.8122936445446327,0.0,0.8893440800830295,0.25973999999999997,2.085135135135135
20.205827817,-1.3950890242344212,-3.807367207140539,0.0,0.9378022309982245,0.26621999999999996,2.0337837837837838
20.216451767,-1.3932085859025847,-3.8048042914077906,0.0,0.9618924727397005,0.26658,2.02027027027027
20.240319599,-1.3894440272039335,-3.7994054376492294,0.0,1.0092327124449785,0.27468,1.9756756756756753
20.264377382,-1.3858555937053694,-3.793701633799908,0.0,1.0558023098438785,0.2808,1.9405405405405405
20.276443488,-1.3841647629900702,-3.79071395037291,0.0,1.0788417332967215,0.28512,1.9135135135135133
20.300420072,-1.3808145367506384,-3.7844623788717304,0.0,1.1219383243053842,0.29645999999999995,1.801351351351351
20.324280195,-1.3776978786957317,-3.777991549250292,0.0,1.163927352759211,0.29933999999999994,1.7499999999999996
20.336351249,-1.3762641130191344,-3.7746642809985986,0.0,1.1849232544856054,0.29988,1.7378378378378374
20.360654087,-1.373510113298629,-3.767885018182514,0.0,1.2265246104635796,0.30257999999999996,1.7202702702702701
20.374420789,-1.3720877968058636,-3.7639181660223278,0.0,1.2497429941237588,0.30438,1.6770270270270269
20.396309323,-1.369957946916551,-3.7575137354499604,0.0,1.2854876801860176,0.30798,1.631081081081081
20.414629474,-1.3683726312348876,-3.7521088344692095,0.0,1.3148350535298137,0.30942,1.6121621621621618
20.434406885,-1.3668133520550114,-3.7461506017080226,0.0,1.346457364438871,0.30978,1.5905405405405402
20.454420549,-1.3654323602867293,-3.7400983932824894,0.0,1.3783933269096824,0.30995999999999996,1.5945945945945945
20.474402181,-1.3642492106873156,-3.734025131411012,0.0,1.4097668125908545,0.30942,1.5689189189189185
20.49432449,-1.363259008476229,-3.727929177079898,0.0,1.4411894598608601,0.30942,1.5743243243243241
20.514714513,-1.3624557240109305,-3.721766065527612,0.0,1.4725046319016517,0.30978,1.5608108108108107
20.540463674,-1.3616700559828594,-3.713798594649704,0.0,1.5129140638102372,0.3087,1.5581081081081078
20.564344319,-1.3612414020529648,-3.7064012489623903,0.0,1.5506587002814542,0.30906,1.5743243243243241
20.576385007,-1.3611671515872497,-3.702714596584945,0.0,1.5695571731962816,0.30743999999999994,1.5756756756756756
20.600272111,-1.3611579912960543,-3.6953222228573352,0.0,1.607604839681537,0.30798,1.585135135135135
20.624520313,-1.3614307529568288,-3.6879152823687877,0.0,1.6456540542766138,0.30851999999999996,1.5837837837837834
20.636359123,-1.3617070513983407,-3.6842311984147886,0.0,1.664675787663706,0.30708,1.581081081081081
20.660250289,-1.362398267652831,-3.676890035505804,0.0,1.703040193231297,0.30726,1.5986486486486482
20.684573805,-1.3633707099556946,-3.6695795501457313,0.0,1.7413313614441763,0.30816,1.5999999999999996
20.696284489,-1.36400418854751,-3.665900976587371,0.0,1.7605893186707051,0.3096,1.5972972972972972
20.720336438,-1.3654016413267054,-3.658626561763427,0.0,1.799154277758598,0.30888,1.6081081081081077
20.744329324,-1.3670826490713015,-3.6513936819266273,0.0,1.8380483382543478,0.3096,1.6216216216216215
20.756416628,-1.368064254444046,-3.6478085886462077,0.0,1.8574673804163326,0.31013999999999997,1.6202702702702698
20.780314878,-1.3701651671252018,-3.6406818011469397,0.0,1.896274230617715,0.30995999999999996,1.6189189189189188
20.804349795,-1.3725479366992142,-3.6336213248334697,0.0,1.935104239639978,0.31067999999999996,1.6189189189189186
20.816576372,-1.3738942338823557,-3.6300907862575458,0.0,1.9547658640071381,0.31085999999999997,1.6175675675675671
20.840928273,-1.3766787079060119,-3.6231989136999796,0.0,1.9933449310311546,0.3114,1.6162162162162161
20.865569554,-1.3798409427037406,-3.6161659879692705,0.0,2.0335426804267716,0.30978,1.6148648648648645
