time,x,z
1.45,-1.0755000000002915e-05,4.897999999975422e-06
1.458,2.4224999999999247e-05,1.577799999996632e-05
1.467,3.7776999999999256e-05,1.7303999999995767e-05
1.475,1.9979999999978487e-06,1.5655999999975023e-05
1.483,-1.610600000000184e-05,3.324899999998521e-05
1.492,-2.2770000000019164e-06,-5.722000000041305e-06
1.5,1.1213999999998975e-05,4.7300000000083386e-07
1.508,-5.243000000000261e-06,1.2969999999834503e-06
1.517,-1.505000000000603e-06,1.4327999999952379e-05
1.525,2.7165999999998608e-05,2.352899999999436e-05
1.533,1.1334999999997736e-05,2.030999999999561e-05
1.542,-1.6807000000000627e-05,1.4770999999996759e-05
1.55,2.858199999999922e-05,3.9763999999969935e-05
1.558,6.209999999975263e-07,2.9952999999971475e-05
1.567,3.1883999999999385e-05,6.957999999998576e-05
1.575,2.172699999999743e-05,3.1936999999981897e-05
1.583,1.7499999999982807e-06,-2.3650000000041693e-06
1.592,-3.5668000000002587e-05,-5.661000000017902e-06
1.6,8.558999999999997e-06,2.6259999999972417e-05
1.608,6.381599999999779e-05,4.5608999999974253e-05
1.617,7.106299999999795e-05,2.9326999999995662e-05
1.625,2.4164999999999603e-05,2.531399999997075e-05
1.633,-3.339700000000098e-05,2.4674000000002305e-05
1.642,-1.4710000000001111e-05,2.1056999999963244e-05
1.65,3.3022999999998345e-05,3.036499999997666e-05
1.658,5.390699999999714e-05,3.549199999999808e-05
1.667,3.0713999999999395e-05,1.6173999999979927e-05
1.675,1.9731999999998e-05,1.3778999999991548e-05
1.683,2.459199999999863e-05,2.865599999996027e-05
1.692,5.567999999999199e-06,4.6309999999993856e-05
1.7,1.4123999999997305e-05,3.765899999996769e-05
1.708,6.099999999998468e-07,2.0629999999965953e-05
1.717,-1.55960000000014e-05,-1.2726000000018445e-05
1.725,3.566199999999707e-05,3.376799999996183e-05
1.733,1.602099999999801e-05,4.478499999999164e-05
1.742,9.429999999999508e-06,7.094999999984752e-06
1.75,2.0909999999992046e-06,1.9529999999712278e-06
1.758,2.4863999999997707e-05,2.1773999999974425e-05
1.767,4.7153999999998905e-05,1.1001999999982193e-05
1.775,2.4828999999997048e-05,2.4840999999969915e-05
1.783,3.763999999999851e-05,2.569599999996397e-05
1.792,2.2972999999997315e-05,3.427099999997463e-05
1.8,-5.589999999999762e-06,-2.4870000000232206e-06
1.808,-7.100000000009876e-07,8.31599999998045e-06
1.817,4.93919999999988e-05,2.6214999999968347e-05
1.825,3.9204999999998755e-05,4.1595999999977096e-05
1.833,1.8737999999999047e-05,2.3223999999988365e-05
1.842,1.7409999999998954e-05,1.5121999999978541e-05
1.85,-1.2710000000000846e-05,2.891499999996272e-05
1.858,3.251099999999896e-05,2.8426999999969782e-05
1.867,1.6796999999997217e-05,4.267899999998992e-05
1.875,1.2349999999987371e-06,1.1153999999985453e-05
1.883,8.927999999998326e-06,6.103999999979015e-06
1.892,4.573499999999814e-05,1.0100999999984595e-05
1.9,5.3995999999998864e-05,1.1733999999985478e-05
1.908,2.8646999999997966e-05,2.3773000000004707e-05
1.917,9.090999999999266e-06,3.1936999999981897e-05
1.925,3.293999999997438e-06,1.068099999998462e-05
1.933,6.015999999997579e-06,4.4662999999972586e-05
1.942,3.931599999999931e-05,1.7516999999994676e-05
1.95,-3.858600000000191e-05,-1.565500000003106e-05
1.958,-2.6656000000001637e-05,-1.6342000000030277e-05
1.967,-8.227000000001275e-06,-9.415000000040363e-06
1.975,-3.3590000000031234e-06,2.7144999999978436e-05
1.983,3.231699999999872e-05,2.368199999996934e-05
1.992,1.6887999999999626e-05,2.212999999973153e-06
2.0,-2.7316000000001187e-05,-9.460000000016677e-07
2.008,-1.3764000000001178e-05,1.3335999999974923e-05
2.017,1.3185999999998366e-05,4.3789999999988005e-06
2.025,1.873999999998932e-06,7.445999999966535e-06
2.033,1.6966999999997942e-05,-6.0580000000032275e-06
2.042,-3.2270000000014787e-06,1.4999999992104662e-08
2.05,1.1528999999997971e-05,-4.135000000043965e-06
2.058,2.2553999999999283e-05,1.2328999999977608e-05
2.067,7.999999999997592e-06,8.864999999969037e-06
2.075,1.3858999999999747e-05,-1.2009000000007264e-05
2.083,-9.013000000002158e-06,-7.660000000020428e-06
2.092,-2.1200000000030222e-06,1.9069999999676845e-06
2.1,2.0129999999998413e-05,9.231999999997909e-06
2.108,1.8856999999997126e-05,5.279999999996399e-06
2.117,2.0269999999999316e-06,5.126999999965909e-06
2.125,5.892999999998136e-06,-8.514000000042765e-06
2.133,1.3089999999979507e-06,8.376999999976098e-06
2.142,-3.158300000000169e-05,1.4388999999975782e-05
2.15,-1.1866000000002735e-05,-6.180000000022279e-06
2.158,-9.176000000001364e-06,-4.974000000018686e-06
2.167,-2.2809000000002105e-05,-3.277600000001213e-05
2.175,4.889999999998715e-06,1.4922999999972264e-05
2.183,1.3429999999998304e-05,2.9586999999969832e-05
2.192,-1.532000000002004e-06,4.1595999999977096e-05
2.2,7.632999999999945e-06,8.178999999969294e-06
2.208,1.6332999999998585e-05,2.9139999999927557e-06
2.217,-1.3040000000023172e-06,-2.0691000000017112e-05
2.225,-2.267000000000241e-06,1.4434999999979325e-05
2.233,-8.878000000002093e-06,2.1285999999981486e-05
2.242,-6.05300000000239e-06,9.765999999966635e-06
2.25,-4.0605000000002583e-05,-1.6937000000022406e-05
2.258,-7.652000000000353e-06,-1.2039000000019229e-05
2.267,7.271299999999856e-05,1.3228999999975732e-05
2.275,3.911399999999808e-05,3.324899999998521e-05
2.283,1.5419999999984751e-06,4.607999999989287e-06
2.292,-2.662500000000234e-05,1.985199999998688e-05
2.3,1.8359999999998516e-05,1.5731999999962776e-05
2.308,4.875599999999876e-05,3.7124999999998964e-05
2.317,3.9738999999998706e-05,2.590899999996288e-05
2.325,-2.434500000000027e-05,-1.0223000000003646e-05
2.333,-7.110000000001143e-06,8.666999999989988e-06
2.342,6.326099999999849e-05,4.439999999966693e-06
2.35,6.13389999999988e-05,4.231299999996052e-05
2.358,6.648599999999928e-05,8.92599999999244e-06
2.367,-9.41800000000062e-06,-1.1140000000242622e-06
2.375,-1.7548000000002645e-05,5.706999999993689e-06
2.383,4.071699999999741e-05,9.33799999996987e-06
2.392,1.9320999999999228e-05,8.147999999985611e-06
2.4,5.423799999999812e-05,5.8289999999572295e-06
2.408,1.6964999999998995e-05,2.2582999999992692e-05
2.417,2.624099999999803e-05,3.079199999997395e-05
2.425,1.8568000000000057e-05,1.611299999998428e-05
2.433,4.1420999999998084e-05,6.27099999997438e-06
2.442,3.331299999999836e-05,1.896699999998086e-05
2.45,4.969799999999906e-05,0.0001301880000000033
2.458,8.913599999999834e-05,0.000376311999999962
2.467,3.8375999999997953e-05,0.0007235259999999744
2.475,-4.26570000000015e-05,0.0012058559999999774
2.483,-5.569100000000181e-05,0.0017559199999999942
2.492,-4.174800000000117e-05,0.0024217989999999745
2.5,-0.0001984340000000008,0.003205535999999981
2.508,-0.0003328850000000015,0.004127685999999964
2.517,-0.0003381380000000017,0.005199996999999984
2.525,-0.0003789250000000022,0.0064154969999999645
2.533,-0.00044609500000000225,0.007642486999999976
2.542,-0.0005822300000000013,0.009036757999999978
2.55,-0.0006543940000000009,0.010436568999999979
2.558,-0.0006604900000000014,0.01194964599999998
2.567,-0.0007897880000000031,0.01354031399999997
2.575,-0.0009697490000000007,0.015122237999999982
2.583,-0.0010189220000000002,0.016879928999999988
2.592,-0.0011655040000000012,0.018648162999999968
2.6,-0.001318157000000002,0.020522719999999994
2.608,-0.0013687030000000006,0.022492492999999975
2.617,-0.0016098460000000016,0.024508986999999982
